,,,,LightInfantry,IMF  Irregular Light Infantry,Team1,,,
,,,,Mechanized,IMF  Irregular Mechanized Platoon,Team1,,,
,,,,Motorized,IMF  Irregular Motorized Platoon,Team1,,,
,,,,Support,IMF  Irregular Fire Support Group,Team1,,,
,,,TLF,,1st Army Battle Group,Team1,,,
,,,,AirAssault,1st Commando Brigade Battle Group,Team1,,,
,,,,Armored,4th Armored Brigade Battle Group,Team1,,,
,,,,Mechanized,66th Mechanized Infantry Brigade Battle Group,Team1,,,
,,,,Motorized,51st Motorized Infantry Brigade Battle Group,Team1,,,
,,,ADF,,3rd Brigade Battle Group,Team2,,,
,,,,Mechanized,Royal Australian Regiment,Team2,,,
,,,BAF,,3rd Division Battle Group,Team2,,,
,,,,Armored,Queen's Royal Hussars Battle Group,Team2,,,
,,,,Mechanized,1 Yorks Battle Group,Team2,,,
,,,,Support,Royal Logistics Corps Battle Group,Team2,,,
,,,CAF,,1st Canadian Mechanized Brigade Group,Team2,,,
,,,,Armored,Lord Strathcona's Horse Regiment,Team2,,,
,,,,Mechanized,Royal 22e Régiment,Team2,,,
,,,,Motorized,12e Régiment Blindé du Canada,Team2,,,
,,,,Support,6 Canadian Combat Support Brigade,Team2,,,
,,,PLA,,118th Combined Arms Brigade,Team2,,,
,,,,Armored,195th Combined Arms Brigade,Team2,,,
,,,,LightInfantry,149th Combined Arms Brigade,Team2,,,
,,,,Motorized,112th Combined Arms Brigade,Team2,,,
,,,,Support,80th Combined Arms Brigade,Team2,,,
,,,,Armored,9th Heavy Combined Arms Battalion,Team2,,,
,,,,CombinedArms,14th Amphibious Combined Arms Brigade,Team2,,,
,,,,Mechanized,4th Medium Combined Arms Battalion,Team2,,,
,,,RGF,,49th Combined Arms Army,Team2,,,
,,,,Armored,6th Separate Tank Brigade,Team2,,,
,,,,LightInfantry,1398th Separate Reconnaissance Battalion,Team2,,,
,,,,Motorized,3rd Motor Rifle Brigade,Team2,,,
,,,,Support,78th Detached Logistics Brigade,Team2,,,
,,,USA,,1st Infantry Division,Team2,,,
,,,,LightInfantry,10th Mountain Division,Team2,,,
,,,,Motorized,2nd Cavalry Stryker Brigade Combat Team,Team2,,,
,,,USMC,,31st Marine Expeditionary Unit,Team2,,,
,,,,Armored,1st Marines,Team2,,,
,,,,LightInfantry,1st Marines Regimental Combat Team,Team2,,,
,,,,Motorized,3rd Light Armored Recon Battalion,Team2,,,
,,,,Support,2nd Marine Logistics Group,Team2,,,
,,,VDV,,7th Guards Mountain Air Assault Division,Team2,,,
,,,,Armored,104th Tank Battalion,Team2,,,
,,,,Mechanized,108th Guards Air Assault Regiment,Team2,,,
,,,,Support,150th Support Battalion,Team2,,,
,,,IMF,,IMF  Irregular Battle Group,Team2,,,
,,,,Armored,IMF  Irregular Armored Squadron,Team2,,,
,,,,LightInfantry,IMF  Irregular Light Infantry,Team2,,,
,,,,Mechanized,IMF  Irregular Mechanized Platoon,Team2,,,
,,,,Motorized,IMF  Irregular Motorized Platoon,Team2,,,
,,,,Support,IMF  Irregular Fire Support Group,Team2,,,
,,,TLF,,1st Army Battle Group,Team2,,,
,,,,Armored,4th Armored Brigade Battle Group,Team2,,,
,,,,Mechanized,66th Mechanized Infantry Brigade Battle Group,Team2,,,
,,,,Motorized,51st Motorized Infantry Brigade Battle Group,Team2,,,
,,Belaya_RAAS_v1,ADF,,3rd Brigade Battle Group,Team1 / Team2,,,
,,,,AirAssault,Royal Australian Regiment,Team1 / Team2,,,
,,,,Mechanized,Royal Australian Regiment,Team1 / Team2,,,
,,,BAF,,3rd Division Battle Group,Team1 / Team2,,,
,,,,AirAssault,Parachute Regiment,Team1 / Team2,,,
,,,,Armored,Queen's Royal Hussars Battle Group,Team1 / Team2,,,
,,,,Mechanized,1 Yorks Battle Group,Team1 / Team2,,,
,,,,Support,Royal Logistics Corps Battle Group,Team1 / Team2,,,
,,,CAF,,1st Canadian Mechanized Brigade Group,Team1 / Team2,,,
,,,,AirAssault,Royal Canadian Regiment,Team1 / Team2,,,
,,,,Armored,Lord Strathcona's Horse Regiment,Team1 / Team2,,,
,,,,Mechanized,Royal 22e Régiment,Team1 / Team2,,,
,,,,Motorized,12e Régiment Blindé du Canada,Team1 / Team2,,,
,,,,Support,6 Canadian Combat Support Brigade,Team1 / Team2,,,
,,,PLA,,118th Combined Arms Brigade,Team1 / Team2,,,
,,,,AirAssault,161st Air Assault Brigade,Team1 / Team2,,,
,,,,Armored,195th Combined Arms Brigade,Team1 / Team2,,,
,,,,LightInfantry,149th Combined Arms Brigade,Team1 / Team2,,,
,,,,Motorized,112th Combined Arms Brigade,Team1 / Team2,,,
,,,,Support,80th Combined Arms Brigade,Team1 / Team2,,,
,,,RGF,,49th Combined Arms Army,Team1 / Team2,,,
,,,,Armored,6th Separate Tank Brigade,Team1 / Team2,,,
,,,,LightInfantry,1398th Separate Reconnaissance Battalion,Team1 / Team2,,,
,,,,Motorized,3rd Motor Rifle Brigade,Team1 / Team2,,,
,,,,Support,78th Detached Logistics Brigade,Team1 / Team2,,,
,,,USA,,1st Infantry Division,Team1 / Team2,,,
,,,,AirAssault,82nd Airborne Division,Team1 / Team2,,,
,,,,LightInfantry,10th Mountain Division,Team1 / Team2,,,
,,,,Motorized,2nd Cavalry Stryker Brigade Combat Team,Team1 / Team2,,,
,,,USMC,,31st Marine Expeditionary Unit,Team1 / Team2,,,
,,,,Armored,1st Marines,Team1 / Team2,,,
,,,,LightInfantry,1st Marines Regimental Combat Team,Team1 / Team2,,,
,,,,Motorized,3rd Light Armored Recon Battalion,Team1 / Team2,,,
,,,,Support,2nd Marine Logistics Group,Team1 / Team2,,,
,,,VDV,,7th Guards Mountain Air Assault Division,Team1 / Team2,,,
,,,,AirAssault,217th Guards Airborne Regiment,Team1 / Team2,,,
,,,,Armored,104th Tank Battalion,Team1 / Team2,,,
,,,,Mechanized,108th Guards Air Assault Regiment,Team1 / Team2,,,
,,,,Support,150th Support Battalion,Team1 / Team2,,,
,,,IMF,,IMF  Irregular Battle Group,Team1 / Team2,,,
,,,,Armored,IMF  Irregular Armored Squadron,Team1 / Team2,,,
,,,,LightInfantry,IMF  Irregular Light Infantry,Team1 / Team2,,,
,,,,Mechanized,IMF  Irregular Mechanized Platoon,Team1 / Team2,,,
,,,,Motorized,IMF  Irregular Motorized Platoon,Team1 / Team2,,,
,,,,Support,IMF  Irregular Fire Support Group,Team1 / Team2,,,
,,,TLF,,1st Army Battle Group,Team1 / Team2,,,
,,,,AirAssault,1st Commando Brigade Battle Group,Team1 / Team2,,,
,,,,Armored,4th Armored Brigade Battle Group,Team1 / Team2,,,
,,,,Mechanized,66th Mechanized Infantry Brigade Battle Group,Team1 / Team2,,,
,,,,Motorized,51st Motorized Infantry Brigade Battle Group,Team1 / Team2,,,
,,Belaya_Skirmish_v1,ADF,,3rd Brigade Battle Group,Team1 / Team2,,,
,,,BAF,,3rd Division Battle Group,Team1 / Team2,,,
,,,CAF,,1st Canadian Mechanized Brigade Group,Team1 / Team2,,,
,,,IMF,,IMF  Irregular Battle Group,Team1 / Team2,,,
,,,PLA,,118th Combined Arms Brigade,Team1 / Team2,,,
,,,RGF,,49th Combined Arms Army,Team1 / Team2,,,
,,,USA,,1st Infantry Division,Team1 / Team2,,,
,,,USMC,,31st Marine Expeditionary Unit,Team1 / Team2,,,
,,,VDV,,7th Guards Mountain Air Assault Division,Team1 / Team2,,,
,,,TLF,,1st Army Battle Group,Team1 / Team2,,,
,,Belaya_TC_v1,ADF,,3rd Brigade Battle Group,Team1 / Team2,,,
,,,,AirAssault,Royal Australian Regiment,Team1 / Team2,,,
,,,,Mechanized,Royal Australian Regiment,Team1 / Team2,,,
,,,BAF,,3rd Division Battle Group,Team1 / Team2,,,
,,,,AirAssault,Parachute Regiment,Team1 / Team2,,,
,,,,Armored,Queen's Royal Hussars Battle Group,Team1 / Team2,,,
,,,,Mechanized,1 Yorks Battle Group,Team1 / Team2,,,
,,,,Support,Royal Logistics Corps Battle Group,Team1 / Team2,,,
,,,CAF,,1st Canadian Mechanized Brigade Group,Team1 / Team2,,,
,,,,AirAssault,Royal Canadian Regiment,Team1 / Team2,,,
,,,,Armored,Lord Strathcona's Horse Regiment,Team1 / Team2,,,
,,,,Mechanized,Royal 22e Régiment,Team1 / Team2,,,
,,,,Motorized,12e Régiment Blindé du Canada,Team1 / Team2,,,
,,,,Support,6 Canadian Combat Support Brigade,Team1 / Team2,,,
,,,PLA,,118th Combined Arms Brigade,Team1 / Team2,,,
,,,,AirAssault,161st Air Assault Brigade,Team1 / Team2,,,
,,,,Armored,195th Combined Arms Brigade,Team1 / Team2,,,
,,,,LightInfantry,149th Combined Arms Brigade,Team1 / Team2,,,
,,,,Motorized,112th Combined Arms Brigade,Team1 / Team2,,,
,,,,Support,80th Combined Arms Brigade,Team1 / Team2,,,
,,,RGF,,49th Combined Arms Army,Team1 / Team2,,,
,,,,Armored,6th Separate Tank Brigade,Team1 / Team2,,,
,,,,LightInfantry,1398th Separate Reconnaissance Battalion,Team1 / Team2,,,
,,,,Motorized,3rd Motor Rifle Brigade,Team1 / Team2,,,
,,,,Support,78th Detached Logistics Brigade,Team1 / Team2,,,
,,,USA,,1st Infantry Division,Team1 / Team2,,,
,,,,AirAssault,82nd Airborne Division,Team1 / Team2,,,
,,,,LightInfantry,10th Mountain Division,Team1 / Team2,,,
,,,,Motorized,2nd Cavalry Stryker Brigade Combat Team,Team1 / Team2,,,
,,,USMC,,31st Marine Expeditionary Unit,Team1 / Team2,,,
,,,,Armored,1st Marines,Team1 / Team2,,,
,,,,LightInfantry,1st Marines Regimental Combat Team,Team1 / Team2,,,
,,,,Motorized,3rd Light Armored Recon Battalion,Team1 / Team2,,,
,,,,Support,2nd Marine Logistics Group,Team1 / Team2,,,
,,,VDV,,7th Guards Mountain Air Assault Division,Team1 / Team2,,,
,,,,AirAssault,217th Guards Airborne Regiment,Team1 / Team2,,,
,,,,Armored,104th Tank Battalion,Team1 / Team2,,,
,,,,Mechanized,108th Guards Air Assault Regiment,Team1 / Team2,,,
,,,,Support,150th Support Battalion,Team1 / Team2,,,
,,,IMF,,IMF  Irregular Battle Group,Team1 / Team2,,,
,,,,Armored,IMF  Irregular Armored Squadron,Team1 / Team2,,,
,,,,LightInfantry,IMF  Irregular Light Infantry,Team1 / Team2,,,
,,,,Mechanized,IMF  Irregular Mechanized Platoon,Team1 / Team2,,,
,,,,Motorized,IMF  Irregular Motorized Platoon,Team1 / Team2,,,
,,,,Support,IMF  Irregular Fire Support Group,Team1 / Team2,,,
,,,TLF,,1st Army Battle Group,Team1 / Team2,,,
,,,,AirAssault,1st Commando Brigade Battle Group,Team1 / Team2,,,
,,,,Armored,4th Armored Brigade Battle Group,Team1 / Team2,,,
,,,,Mechanized,66th Mechanized Infantry Brigade Battle Group,Team1 / Team2,,,
,,,,Motorized,51st Motorized Infantry Brigade Battle Group,Team1 / Team2,,,
,,,,,,,,,
,Black Coast,BlackCoast_AAS_v1,BAF,,3rd Division Battle Group,Team1 / Team2,,,
,,,,AirAssault,Parachute Regiment,Team1 / Team2,,,
,,,,Armored,Queen's Royal Hussars Battle Group,Team1 / Team2,,,
,,,,Mechanized,1 Yorks Battle Group,Team1 / Team2,,,
,,,,Support,Royal Logistics Corps Battle Group,Team1 / Team2,,,
,,,CAF,,1st Canadian Mechanized Brigade Group,Team1 / Team2,,,
,,,,AirAssault,Royal Canadian Regiment,Team1 / Team2,,,
,,,,Armored,Lord Strathcona's Horse Regiment,Team1 / Team2,,,
,,,,Mechanized,Royal 22e Régiment,Team1 / Team2,,,
,,,,Motorized,12e Régiment Blindé du Canada,Team1 / Team2,,,
,,,,Support,6 Canadian Combat Support Brigade,Team1 / Team2,,,
,,,PLA,,118th Combined Arms Brigade,Team1 / Team2,,,
,,,,AirAssault,161st Air Assault Brigade,Team1 / Team2,,,
,,,,Armored,195th Combined Arms Brigade,Team1 / Team2,,,
,,,,LightInfantry,149th Combined Arms Brigade,Team1 / Team2,,,
,,,,Motorized,112th Combined Arms Brigade,Team1 / Team2,,,
,,,,Support,80th Combined Arms Brigade,Team1 / Team2,,,
,,,RGF,,49th Combined Arms Army,Team1 / Team2,,,
,,,,Armored,6th Separate Tank Brigade,Team1 / Team2,,,
,,,,LightInfantry,1398th Separate Reconnaissance Battalion,Team1 / Team2,,,
,,,,Motorized,3rd Motor Rifle Brigade,Team1 / Team2,,,
,,,,Support,78th Detached Logistics Brigade,Team1 / Team2,,,
,,,USA,,1st Infantry Division,Team1 / Team2,,,
,,,,AirAssault,82nd Airborne Division,Team1 / Team2,,,
,,,,LightInfantry,10th Mountain Division,Team1 / Team2,,,
,,,,Motorized,2nd Cavalry Stryker Brigade Combat Team,Team1 / Team2,,,
,,,USMC,,31st Marine Expeditionary Unit,Team1 / Team2,,,
,,,,Armored,1st Marines,Team1 / Team2,,,
,,,,LightInfantry,1st Marines Regimental Combat Team,Team1 / Team2,,,
,,,,Motorized,3rd Light Armored Recon Battalion,Team1 / Team2,,,
,,,,Support,2nd Marine Logistics Group,Team1 / Team2,,,
,,,VDV,,7th Guards Mountain Air Assault Division,Team1 / Team2,,,
,,,,AirAssault,217th Guards Airborne Regiment,Team1 / Team2,,,
,,,,Armored,104th Tank Battalion,Team1 / Team2,,,
,,,,Mechanized,108th Guards Air Assault Regiment,Team1 / Team2,,,
,,,,Support,150th Support Battalion,Team1 / Team2,,,
,,,ADF,,3rd Brigade Battle Group,Team1 / Team2,,,
,,,,AirAssault,Royal Australian Regiment,Team1 / Team2,,,
,,,,Mechanized,Royal Australian Regiment,Team1 / Team2,,,
,,,IMF,,IMF  Irregular Battle Group,Team1 / Team2,,,
,,,,Armored,IMF  Irregular Armored Squadron,Team1 / Team2,,,
,,,,LightInfantry,IMF  Irregular Light Infantry,Team1 / Team2,,,
,,,,Mechanized,IMF  Irregular Mechanized Platoon,Team1 / Team2,,,
,,,,Motorized,IMF  Irregular Motorized Platoon,Team1 / Team2,,,
,,,,Support,IMF  Irregular Fire Support Group,Team1 / Team2,,,
,,,TLF,,1st Army Battle Group,Team1 / Team2,,,
,,,,AirAssault,1st Commando Brigade Battle Group,Team1 / Team2,,,
,,,,Armored,4th Armored Brigade Battle Group,Team1 / Team2,,,
,,,,Mechanized,66th Mechanized Infantry Brigade Battle Group,Team1 / Team2,,,
,,,,Motorized,51st Motorized Infantry Brigade Battle Group,Team1 / Team2,,,
,,,PLANMC,,5th Marine Brigade,Team1 / Team2,,,
,,,,AirAssault,4th Marine Special Combat Battalion,Team1 / Team2,,,
,,,,Armored,3rd Marine Heavy Battalion,Team1 / Team2,,,
,,,,LightInfantry,4th Marine Special Combat Battalion,Team1 / Team2,,,
,,,,Motorized,7th Marine Medium Battalion,Team1 / Team2,,,
,,,,Support,17th Marine Support Battalion,Team1 / Team2,,,
,,,PLAAGF,,14th Amphibious Combined Arms Brigade,Team1 / Team2,,,
,,,,Armored,9th Heavy Combined Arms Battalion,Team1 / Team2,,,
,,,,Mechanized,4th Medium Combined Arms Battalion,Team1 / Team2,,,
,,BlackCoast_AAS_v2,BAF,,3rd Division Battle Group,Team1 / Team2,,,
,,,,AirAssault,Parachute Regiment,Team1 / Team2,,,
,,,,Armored,Queen's Royal Hussars Battle Group,Team1 / Team2,,,
,,,,Mechanized,1 Yorks Battle Group,Team1 / Team2,,,
,,,,Support,Royal Logistics Corps Battle Group,Team1 / Team2,,,
,,,CAF,,1st Canadian Mechanized Brigade Group,Team1 / Team2,,,
,,,,AirAssault,Royal Canadian Regiment,Team1 / Team2,,,
,,,,Armored,Lord Strathcona's Horse Regiment,Team1 / Team2,,,
,,,,Mechanized,Royal 22e Régiment,Team1 / Team2,,,
,,,,Motorized,12e Régiment Blindé du Canada,Team1 / Team2,,,
,,,,Support,6 Canadian Combat Support Brigade,Team1 / Team2,,,
,,,PLA,,118th Combined Arms Brigade,Team1 / Team2,,,
,,,,AirAssault,161st Air Assault Brigade,Team1 / Team2,,,
,,,,Armored,195th Combined Arms Brigade,Team1 / Team2,,,
,,,,LightInfantry,149th Combined Arms Brigade,Team1 / Team2,,,
,,,,Motorized,112th Combined Arms Brigade,Team1 / Team2,,,
,,,,Support,80th Combined Arms Brigade,Team1 / Team2,,,
,,,RGF,,49th Combined Arms Army,Team1 / Team2,,,
,,,,Armored,6th Separate Tank Brigade,Team1 / Team2,,,
,,,,LightInfantry,1398th Separate Reconnaissance Battalion,Team1 / Team2,,,
,,,,Motorized,3rd Motor Rifle Brigade,Team1 / Team2,,,
,,,,Support,78th Detached Logistics Brigade,Team1 / Team2,,,
,,,USA,,1st Infantry Division,Team1 / Team2,,,
,,,,AirAssault,82nd Airborne Division,Team1 / Team2,,,
,,,,LightInfantry,10th Mountain Division,Team1 / Team2,,,
,,,,Motorized,2nd Cavalry Stryker Brigade Combat Team,Team1 / Team2,,,
,,,USMC,,31st Marine Expeditionary Unit,Team1 / Team2,,,
,,,,Armored,1st Marines,Team1 / Team2,,,
,,,,LightInfantry,1st Marines Regimental Combat Team,Team1 / Team2,,,
,,,,Motorized,3rd Light Armored Recon Battalion,Team1 / Team2,,,
,,,,Support,2nd Marine Logistics Group,Team1 / Team2,,,
,,,VDV,,7th Guards Mountain Air Assault Division,Team1 / Team2,,,
,,,,AirAssault,217th Guards Airborne Regiment,Team1 / Team2,,,
,,,,Armored,104th Tank Battalion,Team1 / Team2,,,
,,,,Mechanized,108th Guards Air Assault Regiment,Team1 / Team2,,,
,,,,Support,150th Support Battalion,Team1 / Team2,,,
,,,ADF,,3rd Brigade Battle Group,Team1 / Team2,,,
,,,,AirAssault,Royal Australian Regiment,Team1 / Team2,,,
,,,,Mechanized,Royal Australian Regiment,Team1 / Team2,,,
,,,IMF,,IMF  Irregular Battle Group,Team1 / Team2,,,
,,,,Armored,IMF  Irregular Armored Squadron,Team1 / Team2,,,
,,,,LightInfantry,IMF  Irregular Light Infantry,Team1 / Team2,,,
,,,,Mechanized,IMF  Irregular Mechanized Platoon,Team1 / Team2,,,
,,,,Motorized,IMF  Irregular Motorized Platoon,Team1 / Team2,,,
,,,,Support,IMF  Irregular Fire Support Group,Team1 / Team2,,,
,,,TLF,,1st Army Battle Group,Team1 / Team2,,,
,,,,AirAssault,1st Commando Brigade Battle Group,Team1 / Team2,,,
,,,,Armored,4th Armored Brigade Battle Group,Team1 / Team2,,,
,,,,Mechanized,66th Mechanized Infantry Brigade Battle Group,Team1 / Team2,,,
,,,,Motorized,51st Motorized Infantry Brigade Battle Group,Team1 / Team2,,,
,,,PLANMC,,5th Marine Brigade,Team1 / Team2,,,
,,,,AirAssault,4th Marine Special Combat Battalion,Team1 / Team2,,,
,,,,Armored,3rd Marine Heavy Battalion,Team1 / Team2,,,
,,,,LightInfantry,4th Marine Special Combat Battalion,Team1 / Team2,,,
,,,,Motorized,7th Marine Medium Battalion,Team1 / Team2,,,
,,,,Support,17th Marine Support Battalion,Team1 / Team2,,,
,,,PLAAGF,,14th Amphibious Combined Arms Brigade,Team1 / Team2,,,
,,,,Armored,9th Heavy Combined Arms Battalion,Team1 / Team2,,,
,,,,Mechanized,4th Medium Combined Arms Battalion,Team1 / Team2,,,
,,BlackCoast_Invasion_v1,USMC,,4th Marines Amphibious Ready Group,Team1,,,
,,,PLA,,118th Combined Arms Brigade,Team2,,,
,,,,Armored,195th Combined Arms Brigade,Team2,,,
,,,,LightInfantry,149th Combined Arms Brigade,Team2,,,
,,,,Motorized,112th Combined Arms Brigade,Team2,,,
,,,,Support,80th Combined Arms Brigade,Team2,,,
,,,,Armored,9th Heavy Combined Arms Battalion,Team2,,,
,,,,CombinedArms,14th Amphibious Combined Arms Brigade,Team2,,,
,,,,Mechanized,4th Medium Combined Arms Battalion,Team2,,,
,,,RGF,,49th Combined Arms Army,Team2,,,
,,,,Armored,6th Separate Tank Brigade,Team2,,,
,,,,LightInfantry,1398th Separate Reconnaissance Battalion,Team2,,,
,,,,Motorized,3rd Motor Rifle Brigade,Team2,,,
,,,,Support,78th Detached Logistics Brigade,Team2,,,
,,,VDV,,7th Guards Mountain Air Assault Division,Team2,,,
,,,,Armored,104th Tank Battalion,Team2,,,
,,,,Mechanized,108th Guards Air Assault Regiment,Team2,,,
,,,,Support,150th Support Battalion,Team2,,,
,,,PLANMC,,5th Marine Brigade,Team2,,,
,,,,Armored,3rd Marine Heavy Battalion,Team2,,,
,,,,LightInfantry,4th Marine Special Combat Battalion,Team2,,,
,,,,Motorized,7th Marine Medium Battalion,Team2,,,
,,,,Support,17th Marine Support Battalion,Team2,,,
,,,PLAAGF,,14th Amphibious Combined Arms Brigade,Team2,,,
,,,,Armored,9th Heavy Combined Arms Battalion,Team2,,,
,,,,Mechanized,4th Medium Combined Arms Battalion,Team2,,,
,,,IMF,,IMF  1st Army Battle Group,Team2,,,
,,,,Armored,IMF  4th Armored Brigade Battle Group,Team2,,,
,,,,Mechanized,IMF  66th Mechanized Infantry Brigade Battle Group,Team2,,,
,,,,Motorized,IMF  51st Motorized Infantry Brigade Battle Group,Team2,,,
,,BlackCoast_RAAS_v1,BAF,,3rd Division Battle Group,Team1 / Team2,,,
,,,,AirAssault,Parachute Regiment,Team1 / Team2,,,
,,,,Armored,Queen's Royal Hussars Battle Group,Team1 / Team2,,,
,,,,Mechanized,1 Yorks Battle Group,Team1 / Team2,,,
,,,,Support,Royal Logistics Corps Battle Group,Team1 / Team2,,,
,,,CAF,,1st Canadian Mechanized Brigade Group,Team1 / Team2,,,
,,,,AirAssault,Royal Canadian Regiment,Team1 / Team2,,,
,,,,Armored,Lord Strathcona's Horse Regiment,Team1 / Team2,,,
,,,,Mechanized,Royal 22e Régiment,Team1 / Team2,,,
,,,,Motorized,12e Régiment Blindé du Canada,Team1 / Team2,,,
,,,,Support,6 Canadian Combat Support Brigade,Team1 / Team2,,,
,,,PLA,,118th Combined Arms Brigade,Team1 / Team2,,,
,,,,AirAssault,161st Air Assault Brigade,Team1 / Team2,,,
,,,,Armored,195th Combined Arms Brigade,Team1 / Team2,,,
,,,,LightInfantry,149th Combined Arms Brigade,Team1 / Team2,,,
,,,,Motorized,112th Combined Arms Brigade,Team1 / Team2,,,
,,,,Support,80th Combined Arms Brigade,Team1 / Team2,,,
,,,RGF,,49th Combined Arms Army,Team1 / Team2,,,
,,,,Armored,6th Separate Tank Brigade,Team1 / Team2,,,
,,,,LightInfantry,1398th Separate Reconnaissance Battalion,Team1 / Team2,,,
,,,,Motorized,3rd Motor Rifle Brigade,Team1 / Team2,,,
,,,,Support,78th Detached Logistics Brigade,Team1 / Team2,,,
,,,USA,,1st Infantry Division,Team1 / Team2,,,
,,,,AirAssault,82nd Airborne Division,Team1 / Team2,,,
,,,,LightInfantry,10th Mountain Division,Team1 / Team2,,,
,,,,Motorized,2nd Cavalry Stryker Brigade Combat Team,Team1 / Team2,,,
,,,USMC,,31st Marine Expeditionary Unit,Team1 / Team2,,,
,,,,Armored,1st Marines,Team1 / Team2,,,
,,,,LightInfantry,1st Marines Regimental Combat Team,Team1 / Team2,,,
,,,,Motorized,3rd Light Armored Recon Battalion,Team1 / Team2,,,
,,,,Support,2nd Marine Logistics Group,Team1 / Team2,,,
,,,VDV,,7th Guards Mountain Air Assault Division,Team1 / Team2,,,
,,,,AirAssault,217th Guards Airborne Regiment,Team1 / Team2,,,
,,,,Armored,104th Tank Battalion,Team1 / Team2,,,
,,,,Mechanized,108th Guards Air Assault Regiment,Team1 / Team2,,,
,,,,Support,150th Support Battalion,Team1 / Team2,,,
,,,ADF,,3rd Brigade Battle Group,Team1 / Team2,,,
,,,,AirAssault,Royal Australian Regiment,Team1 / Team2,,,
,,,,Mechanized,Royal Australian Regiment,Team1 / Team2,,,
,,,IMF,,IMF  Irregular Battle Group,Team1 / Team2,,,
,,,,Armored,IMF  Irregular Armored Squadron,Team1 / Team2,,,
,,,,LightInfantry,IMF  Irregular Light Infantry,Team1 / Team2,,,
,,,,Mechanized,IMF  Irregular Mechanized Platoon,Team1 / Team2,,,
,,,,Motorized,IMF  Irregular Motorized Platoon,Team1 / Team2,,,
,,,,Support,IMF  Irregular Fire Support Group,Team1 / Team2,,,
,,,TLF,,1st Army Battle Group,Team1 / Team2,,,
,,,,AirAssault,1st Commando Brigade Battle Group,Team1 / Team2,,,
,,,,Armored,4th Armored Brigade Battle Group,Team1 / Team2,,,
,,,,Mechanized,66th Mechanized Infantry Brigade Battle Group,Team1 / Team2,,,
,,,,Motorized,51st Motorized Infantry Brigade Battle Group,Team1 / Team2,,,
,,,PLANMC,,5th Marine Brigade,Team1 / Team2,,,
,,,,AirAssault,4th Marine Special Combat Battalion,Team1 / Team2,,,
,,,,Armored,3rd Marine Heavy Battalion,Team1 / Team2,,,
,,,,LightInfantry,4th Marine Special Combat Battalion,Team1 / Team2,,,
,,,,Motorized,7th Marine Medium Battalion,Team1 / Team2,,,
,,,,Support,17th Marine Support Battalion,Team1 / Team2,,,
,,,PLAAGF,,14th Amphibious Combined Arms Brigade,Team1 / Team2,,,
,,,,Armored,9th Heavy Combined Arms Battalion,Team1 / Team2,,,
,,,,Mechanized,4th Medium Combined Arms Battalion,Team1 / Team2,,,
,,BlackCoast_RAAS_v2,BAF,,3rd Division Battle Group,Team1 / Team2,,,
,,,,AirAssault,Parachute Regiment,Team1 / Team2,,,
,,,,Armored,Queen's Royal Hussars Battle Group,Team1 / Team2,,,
,,,,Mechanized,1 Yorks Battle Group,Team1 / Team2,,,
,,,,Support,Royal Logistics Corps Battle Group,Team1 / Team2,,,
,,,CAF,,1st Canadian Mechanized Brigade Group,Team1 / Team2,,,
,,,,AirAssault,Royal Canadian Regiment,Team1 / Team2,,,
,,,,Armored,Lord Strathcona's Horse Regiment,Team1 / Team2,,,
,,,,Mechanized,Royal 22e Régiment,Team1 / Team2,,,
,,,,Motorized,12e Régiment Blindé du Canada,Team1 / Team2,,,
,,,,Support,6 Canadian Combat Support Brigade,Team1 / Team2,,,
,,,PLA,,118th Combined Arms Brigade,Team1 / Team2,,,
,,,,AirAssault,161st Air Assault Brigade,Team1 / Team2,,,
,,,,Armored,195th Combined Arms Brigade,Team1 / Team2,,,
,,,,LightInfantry,149th Combined Arms Brigade,Team1 / Team2,,,
,,,,Motorized,112th Combined Arms Brigade,Team1 / Team2,,,
,,,,Support,80th Combined Arms Brigade,Team1 / Team2,,,
,,,RGF,,49th Combined Arms Army,Team1 / Team2,,,
,,,,Armored,6th Separate Tank Brigade,Team1 / Team2,,,
,,,,LightInfantry,1398th Separate Reconnaissance Battalion,Team1 / Team2,,,
,,,,Motorized,3rd Motor Rifle Brigade,Team1 / Team2,,,
,,,,Support,78th Detached Logistics Brigade,Team1 / Team2,,,
,,,USA,,1st Infantry Division,Team1 / Team2,,,
,,,,AirAssault,82nd Airborne Division,Team1 / Team2,,,
,,,,LightInfantry,10th Mountain Division,Team1 / Team2,,,
,,,,Motorized,2nd Cavalry Stryker Brigade Combat Team,Team1 / Team2,,,
,,,USMC,,31st Marine Expeditionary Unit,Team1 / Team2,,,
,,,,Armored,1st Marines,Team1 / Team2,,,
,,,,LightInfantry,1st Marines Regimental Combat Team,Team1 / Team2,,,
,,,,Motorized,3rd Light Armored Recon Battalion,Team1 / Team2,,,
,,,,Support,2nd Marine Logistics Group,Team1 / Team2,,,
,,,VDV,,7th Guards Mountain Air Assault Division,Team1 / Team2,,,
,,,,AirAssault,217th Guards Airborne Regiment,Team1 / Team2,,,
,,,,Armored,104th Tank Battalion,Team1 / Team2,,,
,,,,Mechanized,108th Guards Air Assault Regiment,Team1 / Team2,,,
,,,,Support,150th Support Battalion,Team1 / Team2,,,
,,,ADF,,3rd Brigade Battle Group,Team1 / Team2,,,
,,,,AirAssault,Royal Australian Regiment,Team1 / Team2,,,
